N,종목명,현재가,전일비,등락률,액면가,고가,저가,ROA
150.0,GS건설,22250.0,500.0,+2.30%,5000.0,22400.0,21900.0,2.96
151.0,대한전선,1521.0,9.0,+0.60%,100.0,1525.0,1512.0,2.21
152.0,TIGER 200,32800.0,635.0,+1.97%,0.0,32870.0,32300.0,
153.0,대성홀딩스,116100.0,200.0,+0.17%,1000.0,116500.0,115000.0,1.98
154.0,금양,32000.0,1600.0,+5.26%,500.0,32400.0,30850.0,4.99
155.0,오뚜기,460000.0,2000.0,-0.43%,5000.0,464500.0,459500.0,5.26
156.0,대우건설,4415.0,55.0,+1.26%,5000.0,4450.0,4380.0,4.91
157.0,JB금융지주,9250.0,30.0,+0.33%,5000.0,9420.0,9060.0,0.96
158.0,TIGER 미국S&P500,13355.0,145.0,+1.10%,0.0,13390.0,13315.0,
159.0,효성첨단소재,402500.0,8000.0,+2.03%,5000.0,406500.0,397000.0,12.49
160.0,하이트진로,25100.0,100.0,-0.40%,5000.0,25300.0,25000.0,2.07
161.0,현대두산인프라코어,8690.0,340.0,+4.07%,1000.0,8750.0,8430.0,6.76
162.0,LIG넥스원,74600.0,100.0,+0.13%,5000.0,75600.0,73700.0,4.06
163.0,쌍용차,8760.0,0.0,0.00%,5000.0,0.0,0.0,-14.21
164.0,TIGER 미국필라델피아반도체나스닥,10760.0,260.0,+2.48%,0.0,10795.0,10685.0,
165.0,롯데칠성,173400.0,3300.0,+1.94%,500.0,174000.0,170100.0,3.88
166.0,LX세미콘,95000.0,3000.0,+3.26%,500.0,96000.0,92200.0,30.83
167.0,한전KPS,34300.0,200.0,-0.58%,200.0,35050.0,34200.0,7.11
168.0,한미반도체,15840.0,150.0,-0.94%,100.0,16200.0,15580.0,27.62
169.0,솔루스첨단소재,43700.0,3200.0,+7.90%,100.0,44200.0,41200.0,0.02
170.0,TIGER 미국테크TOP10 INDXX,10080.0,210.0,+2.13%,0.0,10100.0,10015.0,
171.0,현대위아,55200.0,1900.0,+3.56%,5000.0,55800.0,53700.0,0.73
172.0,롯데정밀화학,58000.0,400.0,+0.69%,5000.0,58800.0,57600.0,25.47
173.0,LS ELECTRIC,49800.0,600.0,+1.22%,5000.0,49950.0,49350.0,3.2
174.0,효성,69000.0,200.0,+0.29%,5000.0,69500.0,68700.0,11.16
175.0,녹십자,123700.0,700.0,+0.57%,5000.0,124500.0,123200.0,5.94
176.0,덴티움,129400.0,300.0,+0.23%,500.0,131300.0,128000.0,10.27
177.0,SK케미칼,83000.0,2100.0,+2.60%,5000.0,83800.0,80900.0,8.85
178.0,대웅제약,122000.0,600.0,+0.49%,2500.0,125400.0,121300.0,2.18
179.0,두산,85000.0,700.0,+0.83%,5000.0,85900.0,84300.0,2.34
180.0,현대일렉트릭,38450.0,300.0,+0.79%,5000.0,38950.0,38200.0,-1.5
181.0,TIGER 2차전지테마,22265.0,795.0,+3.70%,0.0,22325.0,21575.0,
182.0,DL이앤씨,34500.0,450.0,+1.32%,5000.0,34950.0,34150.0,
183.0,현대백화점,56300.0,400.0,+0.72%,5000.0,56700.0,56000.0,2.64
184.0,KODEX 2차전지산업,23110.0,650.0,+2.89%,0.0,23180.0,22615.0,
185.0,후성,13820.0,1720.0,+14.21%,500.0,14040.0,12200.0,5.41
186.0,제주항공,16900.0,420.0,+2.55%,1000.0,16920.0,16530.0,-22.36
187.0,GKL,20950.0,250.0,+1.21%,500.0,21200.0,20400.0,-18.27
188.0,한국앤컴퍼니,13540.0,160.0,+1.20%,500.0,13680.0,13380.0,5.08
189.0,KODEX 삼성그룹,9325.0,145.0,+1.58%,0.0,9365.0,9235.0,
190.0,코오롱인더,46400.0,1700.0,+3.80%,5000.0,46400.0,44900.0,3.83
191.0,KODEX 단기채권PLUS,105660.0,10.0,+0.01%,0.0,105665.0,105650.0,
192.0,DGB금융지주,7520.0,30.0,-0.40%,5000.0,7620.0,7450.0,0.67
193.0,동국제강,13270.0,10.0,-0.08%,5000.0,13750.0,13250.0,9.51
194.0,LX인터내셔널,32600.0,550.0,+1.72%,5000.0,32850.0,32100.0,8.9
195.0,에스엘,27100.0,650.0,+2.46%,500.0,27550.0,26600.0,3.92
196.0,KBSTAR 200,32985.0,625.0,+1.93%,0.0,33055.0,32455.0,
197.0,DL,58100.0,1000.0,+1.75%,5000.0,58500.0,57100.0,7.87
198.0,동원시스템즈,41500.0,900.0,+2.22%,5000.0,41700.0,40450.0,3.5
199.0,일진하이솔루스,32600.0,850.0,+2.68%,500.0,33000.0,31900.0,4.22
200.0,율촌화학,47350.0,950.0,+2.05%,500.0,47600.0,46050.0,1.32
